PRIMARY,DETAILED,DESCRIPTION,CATEGORY,SUBCATEGORY
INCOME,INCOME_DIVIDENDS,Dividends from investment accounts,Income,Dividends
INCOME,INCOME_INTEREST_EARNED,Income from interest on savings accounts,Income,Interest Earned
INCOME,INCOME_RETIREMENT_PENSION,Income from pension payments,Income,Retirement Pension
INCOME,INCOME_TAX_REFUND,Income from tax refunds,Income,Tax Refund
INCOME,INCOME_UNEMPLOYMENT,"Income from unemployment benefits, including unemployment insurance and healthcare",Income,Unemployment
INCOME,INCOME_WAGES,"Income from salaries, gig-economy work, and tips earned",Income,Wages
INCOME,INCOME_OTHER_INCOME,"Other miscellaneous income, including alimony, social security, child support, and rental",Income,Other
TRANSFER_IN,TRANSFER_IN_CASH_ADVANCES_AND_LOANS,Loans and cash advances deposited into a bank account,Transfer In,Cash Advances and Loans
TRANSFER_IN,TRANSFER_IN_DEPOSIT,"Cash, checks, and ATM deposits into a bank account",Transfer In,Deposit
TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,Inbound transfers to an investment or retirement account,Transfer In,Investment and Retirement Funds
TRANSFER_IN,TRANSFER_IN_SAVINGS,Inbound transfers to a savings account,Transfer In,Savings
TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER,General inbound transfers from another account,Transfer In,Account Transfer
TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN,Other miscellaneous inbound transactions,Transfer In,Other
TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,"Transfers to an investment or retirement account, including investment apps such as Acorns, Betterment",Transfer Out,Investment and Retirement Funds
TRANSFER_OUT,TRANSFER_OUT_SAVINGS,Outbound transfers to savings accounts,Transfer Out,Savings
TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL,Withdrawals from a bank account,Transfer Out,Withdrawal
TRANSFER_OUT,TRANSFER_OUT_ACCOUNT_TRANSFER,General outbound transfers to another account,Transfer Out,Account Transfer
TRANSFER_OUT,TRANSFER_OUT_OTHER_TRANSFER_OUT,Other miscellaneous outbound transactions,Transfer Out,Other
LOAN_PAYMENTS,LOAN_PAYMENTS_CAR_PAYMENT,Car loans and leases,Loan Payments,Car Payment
LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Payments to a credit card. These are positive amounts for credit card subtypes and negative for depository subtypes,Loan Payments,Credit Card Payment
LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,"Personal loans, including cash advances and buy now pay later repayments",Loan Payments,Personal Loan Payment
LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Payments on mortgages,Loan Payments,Mortgate Payment
LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,"Payments on student loans. For college tuition,refer to ""General Services - Education""",Loan Payments,Student Loan Payment
LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER_PAYMENT,Other miscellaneous debt payments,Loan Payments,Other
BANK_FEES,BANK_FEES_ATM_FEES,Fees incurred for out-of-network ATMs,Bank Fees,ATM Fees
BANK_FEES,BANK_FEES_FOREIGN_TRANSACTION_FEES,Fees incurred on non-domestic transactions,Bank Fees,Foreign Transaction Fees
BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS,Fees relating to insufficient funds,Bank Fees,Insufficient Funds
BANK_FEES,BANK_FEES_INTEREST_CHARGE,"Fees incurred for interest on purchases, including not-paid-in-full or interest on cash advances",Bank Fees,Interest Charge
